suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_nea2plus_lower,mean_rank_nea2plus,mean_rank_msc,median_nea2plus,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2020,15,3000000,composition,8,composition,NEA2PLUS-PY,MSC-CMA,51,51,2450,0.058054594386774294,74.039215686274503,28.96078431372549,24.246762464747007,0,1.4690131451356379e-14,3,holm-bonferroni,2.6518036849356143e-14,0.05,<
cec2020,15,3000000,composition,9,composition,NEA2PLUS-PY,MSC-CMA,51,51,2553,0.018454440599769306,76.058823529411768,26.941176470588236,100.00000002310071,100.00000000004229,5.3182182848914186e-17,3,holm-bonferroni,1.5954654854674257e-16,0.05,<
cec2020,15,3000000,composition,10,composition,NEA2PLUS-PY,MSC-CMA,51,51,2452,0.05728565936178398,74.078431372549019,28.921568627450981,400.00000001520175,100.00731846890176,1.3259018424678072e-14,3,holm-bonferroni,2.6518036849356143e-14,0.05,<
cec2022,10,200000,all,1,basic,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,0,0,6.2530376797473677e-19,12,holm-bonferroni,7.5036452156968417e-18,0.05,<
cec2022,10,200000,all,2,basic,NEA2PLUS-PY,MSC-CMA,51,51,2550,0.019607843137254943,76,27,0,0,1.5322369200991173e-17,12,holm-bonferroni,1.2257895360792938e-16,0.05,<
cec2022,10,200000,all,3,basic,NEA2PLUS-PY,MSC-CMA,51,51,77,0.97039600153787009,27.509803921568626,75.490196078431381,4.7317310077232833e-05,0.0037168849278259586,2.7189450995250805e-16,12,holm-bonferroni,1.9032615696675565e-15,0.05,>
cec2022,10,200000,all,4,basic,NEA2PLUS-PY,MSC-CMA,51,51,2589,0.0046136101499423265,76.764705882352942,26.235294117647058,3.9798362287804139,0,3.5054627115843101e-18,12,holm-bonferroni,3.6316870527380867e-17,0.05,<
cec2022,10,200000,all,5,basic,NEA2PLUS-PY,MSC-CMA,51,51,1938,0.25490196078431371,64,39,0,0,1.6835892258650236e-05,12,holm-bonferroni,5.0507676775950707e-05,0.05,<
cec2022,10,200000,all,6,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2428,0.066512879661668634,73.607843137254903,29.392156862745097,2.1253119908756162,0.47236996505171192,4.6040582061182986e-14,12,holm-bonferroni,2.7624349236709794e-13,0.05,<
cec2022,10,200000,all,7,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2393,0.079969242599000401,72.921568627450981,30.078431372549019,20.000000412001327,0.62410011040788049,2.7026877873836919e-13,12,holm-bonferroni,1.3513438936918459e-12,0.05,<
cec2022,10,200000,all,8,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1960,0.24644367550941948,64.431372549019613,38.568627450980394,20.108937822520147,0.94611383560913964,1.0313499830030471e-05,12,holm-bonferroni,4.1253999320121885e-05,0.05,<
cec2022,10,200000,all,9,composition,NEA2PLUS-PY,MSC-CMA,51,51,2550,0.019607843137254943,76,27,229.28438270867264,229.2843827084871,7.7639033396504468e-18,12,holm-bonferroni,6.9875130056854022e-17,0.05,<
cec2022,10,200000,all,10,composition,NEA2PLUS-PY,MSC-CMA,51,51,1691,0.34986543637062673,59.156862745098039,43.843137254901961,100.35338921006496,30.176699535088574,0.0090500978158160657,12,holm-bonferroni,0.018100195631632131,0.05,<
cec2022,10,200000,all,11,composition,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,2.250408215331845e-08,0,3.3015336843073518e-18,12,holm-bonferroni,3.6316870527380867e-17,0.05,<
cec2022,10,200000,all,12,composition,NEA2PLUS-PY,MSC-CMA,51,51,1608,0.3817762399077278,57.529411764705884,45.470588235294116,163.47770546954689,163.1891255617611,0.038833999636888356,12,holm-bonferroni,0.038833999636888356,0.05,<
cec2022,10,200000,composition,9,composition,NEA2PLUS-PY,MSC-CMA,51,51,2550,0.019607843137254943,76,27,229.28438270867264,229.2843827084871,7.7639033396504468e-18,4,holm-bonferroni,2.3291710018951341e-17,0.05,<
cec2022,10,200000,composition,10,composition,NEA2PLUS-PY,MSC-CMA,51,51,1691,0.34986543637062673,59.156862745098039,43.843137254901961,100.35338921006496,30.176699535088574,0.0090500978158160657,4,holm-bonferroni,0.018100195631632131,0.05,<
