suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,mean_rank_competitor,mean_rank_msc,median_competitor,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2017,10,100000,all,6,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0,0.0054526571231008347,1.3905886961424435e-20,29,holm-bonferroni,4.0327072188130864e-19,0.05,>
cec2017,10,100000,all,7,basic,CMAES-NBC,MSC-CMA,51,51,1208,0.53556324490580542,49.686274509803923,53.313725490196077,10.9205898446367,11.255435098558905,0.53806644937039794,29,holm-bonferroni,0.53806644937039794,0.05,=
cec2017,10,100000,all,8,basic,CMAES-NBC,MSC-CMA,51,51,625.5,0.75951557093425603,38.264705882352942,64.735294117647058,0,0.99495905709329691,1.8561135144491023e-07,29,holm-bonferroni,1.670502163004192e-06,0.05,>
cec2017,10,100000,all,9,basic,CMAES-NBC,MSC-CMA,51,51,637.5,0.75490196078431371,38.5,64.5,0,0,6.8625401544398181e-09,29,holm-bonferroni,7.5487941698838e-08,0.05,>
cec2017,10,100000,all,10,basic,CMAES-NBC,MSC-CMA,51,51,1082,0.58400615148019996,47.215686274509807,55.784313725490193,10.432245386192299,18.534537672567239,0.14455548827051479,29,holm-bonferroni,0.28911097654102957,0.05,=
cec2017,10,100000,all,11,hybrid,CMAES-NBC,MSC-CMA,51,51,255,0.90196078431372551,31,72,0,0,2.8708585534047459e-15,29,holm-bonferroni,5.4546312514690171e-14,0.05,>
cec2017,10,100000,all,12,hybrid,CMAES-NBC,MSC-CMA,51,51,644,0.75240292195309499,38.627450980392155,64.372549019607845,0.62442895393655795,129.6114397674753,1.1288879669767006e-05,29,holm-bonferroni,7.9022157688369039e-05,0.05,>
cec2017,10,100000,all,13,hybrid,CMAES-NBC,MSC-CMA,51,51,382,0.85313341022683586,33.490196078431374,69.509803921568619,5.2041345517200197,6.525558370929275,7.3528271785019077e-10,29,holm-bonferroni,1.0293958049902671e-08,0.05,>
cec2017,10,100000,all,14,hybrid,CMAES-NBC,MSC-CMA,51,51,147,0.94348327566320644,28.882352941176471,74.117647058823536,1.4459831163549099e-06,0.99572440905853909,1.1938808840205819e-14,29,holm-bonferroni,1.9102094144329311e-13,0.05,>
cec2017,10,100000,all,15,hybrid,CMAES-NBC,MSC-CMA,51,51,60,0.97693194925028837,27.176470588235293,75.823529411764696,0.49992385578320903,1.6389835030211088,1.0502928145368285e-16,29,holm-bonferroni,2.1005856290736569e-15,0.05,>
cec2017,10,100000,all,16,hybrid,CMAES-NBC,MSC-CMA,51,51,411,0.84198385236447515,34.058823529411768,68.941176470588232,1.00069646947304,1.85164876491217,2.6844274014535863e-09,29,holm-bonferroni,3.2213128817443036e-08,0.05,>
cec2017,10,100000,all,17,hybrid,CMAES-NBC,MSC-CMA,51,51,1851,0.28835063437139563,62.294117647058826,40.705882352941174,24.378411914008701,21.36945826367446,0.00023233099493771134,29,holm-bonferroni,0.0011616549746885567,0.05,<
cec2017,10,100000,all,18,hybrid,CMAES-NBC,MSC-CMA,51,51,142,0.9454056132256824,28.784313725490197,74.215686274509807,0.50000000929935595,20.590704395655848,9.1780375982660285e-15,29,holm-bonferroni,1.6520467676878851e-13,0.05,>
cec2017,10,100000,all,19,hybrid,CMAES-NBC,MSC-CMA,51,51,1,0.99961553248750479,26.019607843137255,76.980392156862735,0.037058770737758102,2.4489783865108166,3.5043165051200882e-18,29,holm-bonferroni,8.7607912628002199e-17,0.05,>
cec2017,10,100000,all,20,hybrid,CMAES-NBC,MSC-CMA,51,51,1005,0.61361014994232987,45.705882352941174,57.294117647058826,1.3072348704272401,17.22869822255393,0.048342110827527124,29,holm-bonferroni,0.14502633248258137,0.05,=
cec2017,10,100000,all,21,composition,CMAES-NBC,MSC-CMA,51,51,2557,0.016916570549788568,76.137254901960787,26.862745098039216,201.71317044515999,100.0000000000191,4.2032175637474959e-17,29,holm-bonferroni,8.8267568838697416e-16,0.05,<
