suite,dimension,budget,function,function_class,reference,opponent,n_reference,n_opponent,u_reference,probability_conly_lower,median_conly,median_opponent,p_raw,bonferroni_family_size,p_bonferroni,alpha,decision
cec2020,10,1000000,10,composition,MSC-CMA-Conly,ARRDE,51,51,1536,0.40945790080738176,100.00167748874992,100.00004311718567,0.11576420638943602,3,0.34729261916830806,0.05,not significant
cec2020,10,1000000,8,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,867,0.66666666666666674,9.5496943686157465e-12,100,0.0034560240253272549,3,0.010368072075981765,0.05,conly better
cec2020,10,1000000,9,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,169,0.93502499038831222,1.90084392670542e-10,100.00000000000455,3.7209449730596445e-14,3,1.1162834919178934e-13,0.05,conly better
cec2020,10,1000000,10,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,84,0.96770472895040371,100.00167748874992,398.00898944057735,2.5565095793505679e-16,3,7.6695287380517041e-16,0.05,conly better
cec2020,10,1000000,8,composition,MSC-CMA-Conly,LSRTDE,51,51,204,0.92156862745098045,9.5496943686157465e-12,100,3.2784153457821741e-14,3,9.8352460373465222e-14,0.05,conly better
cec2020,10,1000000,9,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,1.90084392670542e-10,327.16470621657481,3.1833466546876073e-18,3,9.5500399640628218e-18,0.05,conly better
cec2020,10,1000000,10,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,100.00167748874992,398.00898944057735,2.6858430355854667e-18,3,8.0575291067564001e-18,0.05,conly better
cec2020,10,1000000,8,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,1377,0.47058823529411764,9.5496943686157465e-12,0,0.60760143292405888,3,1,0.05,not significant
cec2020,10,1000000,9,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,663,0.74509803921568629,1.90084392670542e-10,100,1.272242433525604e-05,3,3.8167273005768121e-05,0.05,conly better
cec2020,10,1000000,10,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,69,0.97347174163783157,100.00167748874992,397.74286946998745,4.1800492373439112e-18,3,1.2540147712031733e-17,0.05,conly better
cec2020,10,1000000,8,composition,MSC-CMA-Conly,j2020,51,51,1479,0.43137254901960786,9.5496943686157465e-12,9.0949470177292824e-13,0.231054386976554,3,0.69316316092966201,0.05,not significant
cec2020,10,1000000,9,composition,MSC-CMA-Conly,j2020,51,51,204,0.92156862745098045,1.90084392670542e-10,100.00000000000045,4.337839911186849e-14,3,1.3013519733560548e-13,0.05,conly better
cec2020,10,1000000,10,composition,MSC-CMA-Conly,j2020,51,51,59,0.97731641676278358,100.00167748874992,100.09691550424714,9.9078460606359124e-17,3,2.9723538181907737e-16,0.05,conly better
cec2020,10,1000000,8,composition,MSC-CMA-Conly,jSO,51,51,0,1,9.5496943686157465e-12,100,1.374172490290586e-20,3,4.122517470871758e-20,0.05,conly better
cec2020,10,1000000,9,composition,MSC-CMA-Conly,jSO,51,51,0,1,1.90084392670542e-10,300,2.8592486748040312e-18,3,8.5777460244120935e-18,0.05,conly better
cec2020,10,1000000,10,composition,MSC-CMA-Conly,jSO,51,51,0,1,100.00167748874992,397.74286946998745,7.1346918193234397e-19,3,2.1404075457970317e-18,0.05,conly better
cec2020,10,1000000,8,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,0,1,9.5496943686157465e-12,11.396522269664274,3.2737322634598816e-18,3,9.8211967903796445e-18,0.05,conly better
cec2020,10,1000000,9,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,0,1,1.90084392670542e-10,100.00000001389844,3.3029654153868941e-18,3,9.9088962461606822e-18,0.05,conly better
cec2020,10,1000000,10,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,900,0.65397923875432529,100.00167748874992,100.00432330660806,0.0074266248914836219,3,0.022279874674450865,0.05,conly better
